event_id,creator_id,title,description,location,event_date,max_attendees,interest_id
29,73,MarketingExpo Yancheng,Join the world's leading fitness experts for an unforgettable event.,Yancheng,2020-12-27,73,19
30,141,Áno Sýros MedicalForum,Connect with industry leaders and discover breakthrough developments in health.,Áno Sýros,2018-11-17,155,3
31,119,Global TasteFair,Connect with industry leaders and discover breakthrough developments in food.,Zhongxiao,2021-07-24,290,11
32,133,VisualArts 2024,Discover the latest trends and innovations in fashion at this premier event.,Basud,2024-04-08,78,15
33,23,HackFest Chowki Jamali,Connect with industry leaders and discover breakthrough developments in technology.,Chowki Jamali,2018-09-30,226,1
34,22,BioConference World,Connect with industry leaders and discover breakthrough developments in science.,Pansoy,2019-12-24,300,2
35,30,Bajo MarketingExpo,Discover the latest trends and innovations in fitness at this premier event.,Bajo,2023-04-18,237,19
36,14,Saint-Dizier CulinaryWeek,Join the world's leading adventure experts for an unforgettable event.,Saint-Dizier,2018-05-28,230,20
37,113,GalleryNight International,A gathering of career enthusiasts and professionals showcasing the latest innovations and trends.,Revolucion Verde,2020-08-27,233,13
38,53,MarketingExpo International,Discover the latest trends and innovations in business at this premier event.,Kohāt,2021-09-14,154,10
39,20,CookingShow World,Join the world's leading travel experts for an unforgettable event.,Sunjia,2020-12-27,161,9
40,146,StartupSummit,Connect with industry leaders and discover breakthrough developments in business.,Mauren,2023-01-25,131,10
41,22,International FinanceCon,Join the world's leading business experts for an unforgettable event.,Mariposa,2020-06-08,253,10
42,55,StartupSummit 2024,Join the world's leading business experts for an unforgettable event.,Wierzchowo,2024-07-10,252,10
43,177,ModernLife,Experience the future of education through interactive sessions and networking opportunities.,Qorao’zak,2019-08-04,176,4
44,47,Global InnovateX,Discover the latest trends and innovations in education at this premier event.,Sukarama,2019-04-28,165,4
45,118,CreativeWeek Chishui,Join the world's leading art experts for an unforgettable event.,Chishui,2024-05-24,293,5
46,159,International LeadershipCon,Experience the future of diy through interactive sessions and networking opportunities.,Colesberg,2020-12-28,202,14
47,196,Samouco AI Conference,Connect with industry leaders and discover breakthrough developments in design.,Samouco,2024-09-23,140,6
48,94,WebDevCon Taoshan,Discover the latest trends and innovations in politics at this premier event.,Taoshan,2023-07-18,286,12
49,116,HackFest World,Experience the future of technology through interactive sessions and networking opportunities.,Cové,2018-03-17,120,1
50,136,OlympicQualifiers,A gathering of sports enthusiasts and professionals showcasing the latest innovations and trends.,Bonsari,2020-07-15,178,8
51,100,WellnessCon,Join the world's leading fashion experts for an unforgettable event.,Dongsheng,2021-10-05,130,15
52,90,Global TasteFair,Join the world's leading food experts for an unforgettable event.,Mollebamba,2018-09-06,188,11
53,158,EntrepreneurWeek Al ‘Alamayn,Connect with industry leaders and discover breakthrough developments in adventure.,Al ‘Alamayn,2023-08-02,156,20
54,7,Maño HealthExpo,Connect with industry leaders and discover breakthrough developments in photograph.,Maño,2019-04-17,188,17
55,75,Global LifestyleExpo,Discover the latest trends and innovations in fashion at this premier event.,Fuying,2020-07-18,281,15
56,148,Global InvestorMeet,Connect with industry leaders and discover breakthrough developments in automotive.,Dadu,2024-05-28,239,16
57,33,Global EcoSummit,Connect with industry leaders and discover breakthrough developments in science.,El’brus,2018-01-10,141,2
58,46,FitnessWeek World,A gathering of health enthusiasts and professionals showcasing the latest innovations and trends.,Chichaoua,2023-04-20,199,3
59,164,CultureCon 2024,Experience the future of entertainment through interactive sessions and networking opportunities.,Chahār Burj,2024-06-06,58,7
60,2,GalleryNight International,Discover the latest trends and innovations in art at this premier event.,Tomdibuloq,2024-02-27,143,5
61,82,International DevCon,Join the world's leading diy experts for an unforgettable event.,Presidencia Roque Sáenz Peña,2019-02-08,227,14
62,46,Pellegrini HolisticHealth,Discover the latest trends and innovations in health at this premier event.,Pellegrini,2021-05-22,212,3
63,116,Global StartupWeek,Discover the latest trends and innovations in technology at this premier event.,Saga,2018-12-03,86,1
64,49,ArtFest International,Connect with industry leaders and discover breakthrough developments in art.,Anaco,2023-12-03,113,5
65,26,International MediaExpo,A gathering of politics enthusiasts and professionals showcasing the latest innovations and trends.,Xinó Neró,2018-11-30,65,12
66,83,International AthleticsMeet,A gathering of photograph enthusiasts and professionals showcasing the latest innovations and trends.,Jiahe,2021-12-08,266,17
67,151,Tuojiang BusinessForum,A gathering of automotive enthusiasts and professionals showcasing the latest innovations and trends.,Tuojiang,2020-01-01,70,16
68,164,Palhais StreetFood,A gathering of food enthusiasts and professionals showcasing the latest innovations and trends.,Palhais,2020-08-10,144,11
69,44,CreativeWeek Grojec,Connect with industry leaders and discover breakthrough developments in art.,Grojec,2020-09-14,225,5
70,128,Maño EntrepreneurWeek,Connect with industry leaders and discover breakthrough developments in business.,Maño,2021-05-24,185,10
71,91,TradeShow World,Experience the future of travel through interactive sessions and networking opportunities.,Cumadcad,2022-05-13,285,9
72,7,SportsExpo International,Join the world's leading automotive experts for an unforgettable event.,Presidencia Roque Sáenz Peña,2024-08-05,270,16
73,40,Sunbu ComicCon,Join the world's leading politics experts for an unforgettable event.,Sunbu,2022-11-19,249,12
74,35,Osan FitnessChallenge,Discover the latest trends and innovations in sports at this premier event.,Osan,2019-10-06,229,8
75,158,LuxuryLiving,Experience the future of fashion through interactive sessions and networking opportunities.,Lidzbark,2021-02-22,220,15
76,115,International MarketingExpo,Join the world's leading fitness experts for an unforgettable event.,Peski,2018-04-29,266,19
77,94,StreetFood,Connect with industry leaders and discover breakthrough developments in automotive.,Jetak Kulon,2018-12-29,247,16
78,83,FoodFest,Connect with industry leaders and discover breakthrough developments in food.,Binlod,2019-01-29,203,11
79,176,Global CookingShow,Discover the latest trends and innovations in food at this premier event.,Lipce Reymontowskie,2024-06-20,66,11
80,135,‘Alāqahdārī Gēlān TradeShow,Experience the future of business through interactive sessions and networking opportunities.,‘Alāqahdārī Gēlān,2023-08-09,121,10
81,30,Global ChampionshipGames,A gathering of design enthusiasts and professionals showcasing the latest innovations and trends.,Hroznětín,2024-07-04,171,6
82,91,Global EntrepreneurWeek,A gathering of travel enthusiasts and professionals showcasing the latest innovations and trends.,Orléans,2019-03-25,206,9
83,182,Munjungan NeuroCon,Join the world's leading science experts for an unforgettable event.,Munjungan,2022-10-02,299,2
84,39,AI Conference,Discover the latest trends and innovations in technology at this premier event.,Jianguo,2018-05-17,130,1
85,137,OlympicQualifiers International,Discover the latest trends and innovations in adventure at this premier event.,Leninogorsk,2018-07-11,206,20
86,74,TechTalks World,Join the world's leading education experts for an unforgettable event.,Leninogorsk,2022-03-10,294,4
87,112,Global StreetFood,Connect with industry leaders and discover breakthrough developments in food.,Luna,2023-07-26,88,11
88,188,Global LuxuryLiving,Join the world's leading adventure experts for an unforgettable event.,Cestas,2021-03-28,237,20
89,78,ChemistryWeek Dongjiao,Join the world's leading science experts for an unforgettable event.,Dongjiao,2024-08-15,69,2
90,1,WellnessCon International,Join the world's leading health experts for an unforgettable event.,Verkhniye Osel’ki,2023-08-04,196,3
91,88,Global HealthcareTech,Discover the latest trends and innovations in fashion at this premier event.,Germiston,2020-06-19,84,15
92,126,SustainableLiving 2024,Discover the latest trends and innovations in fitness at this premier event.,Bucheon-si,2024-02-20,151,19
93,174,LifestyleExpo Sneek,Join the world's leading education experts for an unforgettable event.,Sneek,2020-04-12,137,4
94,82,DevCon Vir,Experience the future of technology through interactive sessions and networking opportunities.,Vir,2021-05-29,66,1
95,25,MindBody Summit Naqadeh,A gathering of fashion enthusiasts and professionals showcasing the latest innovations and trends.,Naqadeh,2020-02-01,263,15
96,39,LuxuryLiving,Discover the latest trends and innovations in fashion at this premier event.,Dian-ay,2019-11-16,287,15
97,172,BioConference International,A gathering of science enthusiasts and professionals showcasing the latest innovations and trends.,Primero de Mayo,2018-11-11,293,2
98,134,MediaExpo,Join the world's leading entertainment experts for an unforgettable event.,Žďár nad Sázavou Druhy,2024-09-21,264,7
99,52,AthleticsMeet,Experience the future of sports through interactive sessions and networking opportunities.,Shchukino,2018-01-21,112,8
100,140,ModernLife Santa Rosa,Experience the future of education through interactive sessions and networking opportunities.,Santa Rosa,2020-03-10,60,4
101,3,Lingxi CloudExpo,Experience the future of technology through interactive sessions and networking opportunities.,Lingxi,2024-05-23,171,1
102,78,Global VisualArts,Connect with industry leaders and discover breakthrough developments in diy.,Totolan,2018-02-11,182,14
103,162,GourmetExpo International,Join the world's leading adventure experts for an unforgettable event.,Kouloúra,2019-04-26,292,20
104,89,Lop TheaterFest,Discover the latest trends and innovations in entertainment at this premier event.,Lop,2024-07-06,142,7
105,3,MusicFest 2024,A gathering of entertainment enthusiasts and professionals showcasing the latest innovations and trends.,Solec-Zdrój,2024-02-17,53,7
106,141,Global GourmetExpo,Join the world's leading food experts for an unforgettable event.,Novyye Gorki,2021-10-28,183,11
107,56,ShowcaseLive International,Experience the future of education through interactive sessions and networking opportunities.,Busan,2022-08-15,256,4
108,127,Global NutritionCon,Connect with industry leaders and discover breakthrough developments in health.,Velyki Kopany,2023-12-07,97,3
109,97,BlockchainCon 2023,Discover the latest trends and innovations in fitness at this premier event.,Urug,2023-11-24,239,19
110,37,Liudu DesignWeek,Join the world's leading art experts for an unforgettable event.,Liudu,2021-03-24,164,5
111,137,ChemistryWeek,A gathering of career enthusiasts and professionals showcasing the latest innovations and trends.,Drenova,2020-02-06,233,13
112,45,Global UrbanLiving,Discover the latest trends and innovations in automotive at this premier event.,Dorotea,2020-03-31,91,16
113,111,International BusinessForum,Experience the future of politics through interactive sessions and networking opportunities.,Arneiro,2023-03-27,113,12
114,134,Global ArtisanFair,Join the world's leading fitness experts for an unforgettable event.,Donomulyo,2018-12-13,145,19
115,133,LeagueFinals International,Discover the latest trends and innovations in design at this premier event.,Talon,2020-05-23,259,6
116,117,SportsCup Rurrenabaque,Join the world's leading sports experts for an unforgettable event.,Rurrenabaque,2023-09-24,202,8
117,151,International FitnessWeek,Discover the latest trends and innovations in design at this premier event.,Jianjun,2024-08-03,249,6
118,114,Global FoodFest,Join the world's leading travel experts for an unforgettable event.,Dunhou,2024-04-19,182,9
119,100,QuantumCon Jianjun,Join the world's leading career experts for an unforgettable event.,Jianjun,2022-08-13,121,13
120,76,Batal HolisticHealth,Discover the latest trends and innovations in health at this premier event.,Batal,2018-12-14,84,3
121,82,International FitnessWeek,Join the world's leading health experts for an unforgettable event.,Dorotea,2023-09-14,217,3
122,200,InnovateX 2024,Discover the latest trends and innovations in technology at this premier event.,Zaghouan,2024-03-21,98,1
123,7,International InvestorMeet,Join the world's leading fashion experts for an unforgettable event.,Pelabuhanratu,2021-03-05,116,15
124,98,Yixi WellBeing,Experience the future of fashion through interactive sessions and networking opportunities.,Yixi,2018-07-21,252,15
125,19,EcoSummit Xinó Neró,Connect with industry leaders and discover breakthrough developments in science.,Xinó Neró,2019-11-18,52,2
126,106,InvestorMeet International,Experience the future of diy through interactive sessions and networking opportunities.,Shenjing,2018-12-12,80,14
127,100,International NeuroCon,Connect with industry leaders and discover breakthrough developments in science.,Hüremt,2019-01-30,285,2
128,162,HackFest World,Discover the latest trends and innovations in technology at this premier event.,Lakbok,2023-10-04,276,1
129,91,FinanceCon Sewon,Connect with industry leaders and discover breakthrough developments in adventure.,Sewon,2019-06-18,221,20
130,115,Lodja ShowcaseLive,Experience the future of entertainment through interactive sessions and networking opportunities.,Lodja,2024-09-25,110,7
131,151,MentalHealthCon 2018,Connect with industry leaders and discover breakthrough developments in health.,Shizunai-furukawachō,2018-01-14,167,3
132,76,HealthExpo 2023,Connect with industry leaders and discover breakthrough developments in education.,Longhu,2023-01-30,206,4
133,60,Pelabuhanratu CookingShow,Experience the future of food through interactive sessions and networking opportunities.,Pelabuhanratu,2023-03-02,101,11
134,192,MediaExpo International,Join the world's leading entertainment experts for an unforgettable event.,Tost,2018-11-06,210,7
135,7,GourmetExpo Mollebamba,Experience the future of career through interactive sessions and networking opportunities.,Mollebamba,2021-02-02,115,13
136,153,FoodieWeek Bantarmangu,Join the world's leading travel experts for an unforgettable event.,Bantarmangu,2023-06-20,297,9
137,16,International EcoSummit,Experience the future of career through interactive sessions and networking opportunities.,Pora,2024-07-10,222,13
138,52,Karangbungur CookingShow,Connect with industry leaders and discover breakthrough developments in food.,Karangbungur,2020-12-23,262,11
139,132,International HolisticHealth,Discover the latest trends and innovations in photograph at this premier event.,Zakliczyn,2024-08-23,288,17
140,20,CodeCamp International,Experience the future of fashion through interactive sessions and networking opportunities.,Jindřichov,2023-09-03,218,15
141,13,CookingShow World,Connect with industry leaders and discover breakthrough developments in food.,Velyki Mezhyrichi,2021-02-22,199,11
142,139,MedicalForum World,A gathering of health enthusiasts and professionals showcasing the latest innovations and trends.,Growong Kidul,2018-09-10,174,3
143,69,International ScienceFest,A gathering of education enthusiasts and professionals showcasing the latest innovations and trends.,Arbeláez,2018-11-07,78,4
144,65,International LifestyleExpo,Discover the latest trends and innovations in career at this premier event.,Dazaifu,2021-02-01,246,13
145,197,LuxuryLiving Hrazdan,Join the world's leading lifestyle experts for an unforgettable event.,Hrazdan,2019-12-09,157,18
146,57,ChampionshipGames Liaonan,Connect with industry leaders and discover breakthrough developments in fashion.,Liaonan,2024-03-15,248,15
147,47,WellBeing 2022,Join the world's leading lifestyle experts for an unforgettable event.,Gumuk Tengah,2022-11-27,139,18
148,21,TechTalks International,Discover the latest trends and innovations in design at this premier event.,Philadelphia,2021-03-17,107,6
149,77,HealthcareTech World,Discover the latest trends and innovations in adventure at this premier event.,Guanabacoa,2018-11-18,276,20
150,165,CulinaryWeek World,Experience the future of food through interactive sessions and networking opportunities.,Arcena Pequena,2021-05-23,164,11
151,127,SpaceExpo International,A gathering of science enthusiasts and professionals showcasing the latest innovations and trends.,Thị Trấn Pác Miầu,2018-05-06,285,2
152,199,LifestyleExpo Mizunami,Discover the latest trends and innovations in lifestyle at this premier event.,Mizunami,2020-09-29,181,18
153,15,AnimeCon,Connect with industry leaders and discover breakthrough developments in education.,Cidikit Girang,2022-06-04,207,4
154,179,Jiangpu QuantumCon,Discover the latest trends and innovations in fashion at this premier event.,Jiangpu,2019-05-11,212,15
155,103,MarketingExpo,A gathering of adventure enthusiasts and professionals showcasing the latest innovations and trends.,Lingxi,2019-11-11,128,20
156,174,International FitnessChallenge,A gathering of sports enthusiasts and professionals showcasing the latest innovations and trends.,Damascus,2018-12-23,101,8
157,47,International Research Symposium,Experience the future of adventure through interactive sessions and networking opportunities.,Tarariras,2018-06-19,79,20
158,41,StartupSummit,Experience the future of automotive through interactive sessions and networking opportunities.,Andamui,2018-01-10,50,16
159,95,International ArtFest,Experience the future of career through interactive sessions and networking opportunities.,Lagarto,2021-04-01,110,13
160,107,AthleticsMeet 2018,Discover the latest trends and innovations in travel at this premier event.,Örnsköldsvik,2018-08-11,185,9
161,72,GalleryNight International,Connect with industry leaders and discover breakthrough developments in design.,Gamleby,2019-06-02,94,6
162,199,MusicFest 2022,Connect with industry leaders and discover breakthrough developments in entertainment.,Agrela,2022-11-21,73,7
163,151,Tianta VisualArts,Experience the future of design through interactive sessions and networking opportunities.,Tianta,2021-11-01,251,6
164,92,TradeShow,Experience the future of diy through interactive sessions and networking opportunities.,Druzhny,2018-06-02,118,14
165,181,CodeCamp World,A gathering of politics enthusiasts and professionals showcasing the latest innovations and trends.,Malabor,2021-12-25,179,12
166,25,GeneticsForum International,Discover the latest trends and innovations in photograph at this premier event.,Piran,2018-10-05,73,17
167,50,GourmetExpo,Experience the future of food through interactive sessions and networking opportunities.,Wenping,2020-03-01,221,11
168,117,Höshigiyn-Ar FitnessChallenge,Connect with industry leaders and discover breakthrough developments in sports.,Höshigiyn-Ar,2022-11-14,79,8
169,198,VisualArts International,Experience the future of art through interactive sessions and networking opportunities.,Nogliki,2021-11-26,200,5
170,109,Murici TradeShow,Connect with industry leaders and discover breakthrough developments in business.,Murici,2020-11-07,149,10
171,85,Toba FilmFest,Join the world's leading education experts for an unforgettable event.,Toba,2019-01-06,233,4
172,180,CreativeCon World,A gathering of art enthusiasts and professionals showcasing the latest innovations and trends.,Jetak Kulon,2024-12-14,292,5
173,169,Changzheng SportsExpo,A gathering of fashion enthusiasts and professionals showcasing the latest innovations and trends.,Changzheng,2023-04-16,148,15
174,75,SportsCup Airdrie,Join the world's leading sports experts for an unforgettable event.,Airdrie,2021-02-13,75,8
175,115,Global CookingShow,Experience the future of food through interactive sessions and networking opportunities.,San Isidro,2019-03-12,114,11
176,148,EntrepreneurWeek 2020,Connect with industry leaders and discover breakthrough developments in fashion.,Hihyā,2020-08-28,134,15
177,170,AthleticsMeet International,Join the world's leading sports experts for an unforgettable event.,Urug,2024-10-09,189,8
178,69,LeadershipCon World,Discover the latest trends and innovations in fashion at this premier event.,Kunshan,2023-08-09,291,15
179,69,International BlockchainCon,Discover the latest trends and innovations in technology at this premier event.,Yanhe,2024-08-05,239,1
180,71,HolisticHealth 2022,Join the world's leading travel experts for an unforgettable event.,Cabusao,2022-05-12,105,9
181,82,International DataSummit,Discover the latest trends and innovations in technology at this premier event.,Pamakayo,2024-12-10,260,1
182,30,ChampionshipGames International,Connect with industry leaders and discover breakthrough developments in education.,Gaotai,2023-06-04,264,4
183,62,TradeShow International,Join the world's leading automotive experts for an unforgettable event.,Arcos,2024-09-09,110,16
184,141,Global MarathonEvent,Join the world's leading adventure experts for an unforgettable event.,Daji,2021-09-14,211,20
185,138,International MusicFest,Experience the future of career through interactive sessions and networking opportunities.,Taoshan,2024-05-26,152,13
186,178,FoodFest International,Discover the latest trends and innovations in photograph at this premier event.,El Jícaro,2020-09-22,167,17
187,23,Research Symposium Balta,Discover the latest trends and innovations in politics at this premier event.,Balta,2022-01-02,90,12
188,99,LeadershipCon 2020,A gathering of design enthusiasts and professionals showcasing the latest innovations and trends.,Gonbad-e Kāvūs,2020-06-16,278,6
189,168,ChefSummit World,A gathering of food enthusiasts and professionals showcasing the latest innovations and trends.,Kuznechikha,2024-07-10,55,11
190,147,MarathonEvent Ust’-Uda,Join the world's leading sports experts for an unforgettable event.,Ust’-Uda,2022-12-08,143,8
191,186,ComicCon,Connect with industry leaders and discover breakthrough developments in career.,Santa Rita,2022-10-11,77,13
192,187,Jianjun LifestyleExpo,Experience the future of education through interactive sessions and networking opportunities.,Jianjun,2021-03-05,218,4
193,186,International HealthcareTech,Connect with industry leaders and discover breakthrough developments in health.,Cikadu,2018-10-12,85,3
194,4,DevCon 2020,A gathering of technology enthusiasts and professionals showcasing the latest innovations and trends.,Ōhara,2020-07-02,162,1
195,110,BioConference,Connect with industry leaders and discover breakthrough developments in design.,Báguanos,2024-02-27,88,6
196,147,LuxuryLiving International,Discover the latest trends and innovations in fashion at this premier event.,Junliangcheng,2018-02-04,226,15
197,10,HealthExpo,Discover the latest trends and innovations in fitness at this premier event.,Lacombe,2020-10-24,60,19
198,77,StudioOpen,A gathering of art enthusiasts and professionals showcasing the latest innovations and trends.,Zhagang,2024-07-20,146,5
199,78,Mudon MarathonEvent,Experience the future of sports through interactive sessions and networking opportunities.,Mudon,2018-10-13,119,8
200,200,BusinessForum International,Experience the future of business through interactive sessions and networking opportunities.,San Fabian,2024-01-13,125,10
